$Temperature file for segment 85
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
    25.496,    5.21,
    25.517,    5.23,
    25.538,    5.24,
    25.559,    5.26,
    25.580,    5.29,
    25.601,    5.32,
    25.622,    5.35,
    25.643,    5.37,
    25.664,    5.40,
    25.685,    5.42,
    25.706,    5.44,
    25.727,    5.45,
    25.748,    5.47,
    25.769,    5.48,
    25.790,    5.49,
    25.811,    5.50,
    25.832,    5.49,
    25.853,    5.49,
    25.874,    5.48,
    25.895,    5.48,
    25.916,    5.46,
    25.937,    5.45,
    25.958,    5.43,
    25.979,    5.41,
    26.000,    5.39,
    26.021,    5.37,
    26.042,    5.35,
    26.063,    5.34,
    26.084,    5.33,
    26.105,    5.32,
    26.126,    5.30,
    26.147,    5.29,
    26.168,    5.27,
    26.189,    5.26,
    26.210,    5.25,
    26.231,    5.24,
    26.252,    5.22,
    26.273,    5.21,
    26.294,    5.20,
    26.315,    5.19,
    26.336,    5.18,
    26.357,    5.17,
    26.378,    5.16,
    26.399,    5.16,
    26.420,    5.16,
    26.441,    5.17,
    26.462,    5.19,
    26.483,    5.24,
    26.504,    5.29,
    26.525,    5.34,
    26.546,    5.38,
    26.567,    5.40,
    26.588,    5.42,
    26.609,    5.44,
    26.630,    5.46,
    26.651,    5.48,
    26.672,    5.49,
    26.693,    5.49,
    26.714,    5.48,
    26.735,    5.45,
    26.756,    5.42,
    26.777,    5.38,
    26.798,    5.35,
    26.819,    5.33,
    26.840,    5.30,
    26.861,    5.26,
    26.882,    5.23,
    26.903,    5.20,
    26.924,    5.17,
